lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh,market
11,120,87.8,0.3084130105314568,0.27778317938745745,0.0033286176626221575,0.10555316369244001,0.48662874622220376,0.003,0.219508708170399,0.043534509632120466,eu_usd
12,120,87.5,0.11558389565435706,0.11584832280019443,0.2858677368548892,-0.09681911887786408,0.3179176522433599,0.307,0.21845732666944775,0.49364851882852456,eu_usd
13,120,88.0,0.16023681768610978,0.10127786651850822,0.13626541644062318,-0.05096204017560634,0.35771724414921946,0.163,0.21806451806922572,0.2940381126447636,eu_usd
14,120,86.9,0.16741303645146413,0.15452461976526147,0.12166006353557246,-0.044971697915896496,0.36531851509233804,0.146,0.21746684966430016,0.2940381126447636,eu_usd
15,120,88.9,0.20933645298198758,0.20489617334537116,0.0489046417711172,0.001016530832843209,0.4002428284954141,0.06,0.2230946355861238,0.1358462271419922,eu_usd
16,120,91.4,0.22078407482268034,0.1931175776095562,0.03482639647552155,0.01599362111746333,0.40779658834615284,0.045,0.21259743872277825,0.11793382053230522,eu_usd
17,120,93.6,0.06020756695215454,0.0018542954371831375,0.5660513624481294,-0.14457936683026232,0.2600486028525001,0.591,0.21949611596935045,0.6196848582356685,eu_usd
18,120,95.0,0.08757836171804223,0.06345579554135702,0.3995759778467365,-0.11596842773801855,0.2840657225114844,0.443,0.21691360667472662,0.5564320810746192,eu_usd
19,120,98.6,0.12128672250667084,0.20039586082366828,0.23333115843033125,-0.07839982029535271,0.3116163112934873,0.277,0.21802235104108672,0.4487137662121755,eu_usd
20,120,96.4,-0.05870169994577249,-0.09424960066671295,0.5701100695768151,-0.25579530430462905,0.14307710143648897,0.583,0.2114424540147647,0.6196848582356685,eu_usd
21,120,99.7,-0.07123431796576592,-0.05262865476769219,0.4828024340651993,-0.2642170547018481,0.12723290412410965,0.545,0.21835789638830694,0.6196848582356685,eu_usd
22,120,105.3,-0.061980161751588006,-0.018473505104521146,0.5301431600331101,-0.25037684610141997,0.1309392824770403,0.574,0.21341607699451842,0.6196848582356685,eu_usd
23,120,102.2,-0.10032781239275826,-0.07967914438502673,0.31593505205025574,-0.28894318909058103,0.09578527403477247,0.385,0.21336375999669124,0.49364851882852456,eu_usd
24,120,99.6,-0.015527997818936077,-0.0026807417181748732,0.8786955359930604,-0.21170656143252253,0.18185340609448286,0.899,0.21335316654158473,0.8786955359930605,eu_usd
0,71,46.2,-0.12056674680058864,-0.13329979879275652,0.4259197840012945,-0.3964314027836673,0.1752671187578807,0.584,0.3147974762959288,0.5982881497466914,eu_eur
1,70,45.1,-0.12082380584942433,-0.059924765987227714,0.4307674678176179,-0.39984539055016216,0.1786917654093482,0.553,0.33185376859746,0.5982881497466914,eu_eur
2,69,44.1,0.04932425722215788,0.13273657289002558,0.7516603244145792,-0.25090950938783063,0.3409011504919204,0.83,0.3218323859998423,0.8170220917549773,eu_eur
3,68,42.9,0.11098962747310595,0.01881894873458793,0.4813288877752986,-0.1961845247681973,0.398326949968848,0.584,0.313842508545626,0.6333274839148665,eu_eur
4,67,44.2,0.25819410687400945,0.3102801500518797,0.08995157202894144,-0.04116036739047569,0.5150131051871119,0.136,0.3195539041730451,0.22487893007235363,eu_eur
5,66,38.3,0.3445709365624467,0.3391921511324497,0.032885786106406245,0.02920429385584698,0.5975498358245626,0.031,0.31818785339584355,0.22487893007235363,eu_eur
6,65,39.8,0.38178539585582894,0.34309440559440557,0.014706305301549705,0.07888485654615947,0.6201488711572893,0.016,0.3309380320011792,0.22487893007235363,eu_eur
7,64,40.8,0.30793282269659494,0.3840201465201465,0.05039221409101735,-0.0005498566789966023,0.5629012482485989,0.064,0.3188630565354394,0.22487893007235363,eu_eur
8,63,41.5,0.3028781624335061,0.2895545314900153,0.052433650309096524,-0.0032958367702271714,0.5571334640419044,0.067,0.318887032895806,0.22487893007235363,eu_eur
9,62,39.3,0.27699471315923624,0.2783359774369822,0.08642176309063543,-0.04068864977058793,0.5438168099251594,0.116,0.3203797595189632,0.22487893007235363,eu_eur
10,61,37.1,0.21797749654145993,0.22987837123215227,0.19581967583642768,-0.11364142954537054,0.505895441824464,0.235,0.31930335239373636,0.3442080690163792,eu_eur
11,60,37.3,0.2835522218733618,0.22056126701861634,0.08792349625090301,-0.04329012834874256,0.5555673386692385,0.087,0.32274109053359673,0.22487893007235363,eu_eur
12,59,37.0,0.08745074551540037,0.06785505552308592,0.6089832368213626,-0.24328841188100045,0.39997222224028683,0.644,0.34066070544729676,0.6920264054788211,eu_eur
13,58,37.0,0.24096957401269214,0.20083669137777233,0.15180469693330312,-0.09010787585516761,0.5240880672224648,0.189,0.33311789037481343,0.2919321094871214,eu_eur
14,57,36.5,0.18332707962975206,0.13501425978739956,0.2830595568579941,-0.1519463258638716,0.4807650160500364,0.33,0.330796305526218,0.4422805575906158,eu_eur
15,56,35.0,0.09868749341705356,0.07621326042378675,0.5755434791032266,-0.24264483876455867,0.41827716440221285,0.621,0.3456247979765818,0.685170808456222,eu_eur
16,55,36.0,0.10368152428383688,0.039610389610389624,0.5502517005214964,-0.2329893883685184,0.41815919925907197,0.627,0.3528782008490269,0.685170808456222,eu_eur
17,54,35.3,0.016396287935355736,-0.09464455879550218,0.9257637674585892,-0.3172053564384514,0.34638697652263456,0.936,0.35321955238838415,0.9257637674585892,eu_eur
18,53,35.2,0.041507090625594836,-0.03757458474439606,0.8135947465180307,-0.29468824830324053,0.3685589916598372,0.86,0.3539491834540692,0.8474945276229486,eu_eur
