lag,spec,var,coef,se_hac,t,p,n,r2
12,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.048366708135187064,0.018079588213411053,2.6752107163209433,0.007468229413007991,178,0.1322695316739798
12,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,0.003590354557961192,0.012791045608348121,0.2806928118228219,0.7789460225339825,794,0.030179049317609175
12,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,-0.013656326256264525,0.01615893260221217,-0.8451255161739436,0.3980407632273354,794,0.030179049317609175
12,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.06523042529555291,0.06325862076202847,1.0311705267957412,0.30246085930577193,794,0.030179049317609175
13,oni + lagged Δ + month dummies,oni,-0.0027965310275448953,0.008405164359740647,-0.33271580517090404,0.7393488178500187,794,0.027914389018000696
13,oni + lagged Δ + month dummies,d3_lag3,0.06599504322959436,0.06321172997955204,1.0440315943091998,0.296470772398978,794,0.027914389018000696
13,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.015902847684792727,0.017910276153885317,0.8879175032341914,0.3745851288018187,195,0.08567055241355703
13,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.19478997713455118,0.05613826485040207,3.469825397233596,0.0005207967992828388,195,0.08567055241355703
13,"… + Δlog cert robusta stocks (1993→, same sample)",dlog_rob_stocks_12,-0.001633150836731852,0.025487652118861226,-0.06407615849100895,0.9489095855938591,195,0.08567055241355703
13,"oni alone, 2010-08→ sample",oni,0.016837427302218093,0.01830006942505553,0.9200745041527076,0.3575338267341083,193,0.08857261998825072
13,"oni alone, 2010-08→ sample",d3_lag3,0.1830728048023121,0.06824781444472314,2.682471318559083,0.007308041805974747,193,0.08857261998825072
13,… + Δlog cert stocks rob & ara (2010-08→),oni,0.014406626674992342,0.016916329350575562,0.8516402333170564,0.3944138019135556,178,0.13877716312834587
13,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.21227990936467064,0.06658096717435658,3.1882971722049347,0.0014311337290229258,178,0.13877716312834587
13,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.005310395473295258,0.024557762336090153,-0.21624101579853985,0.8287998837909374,178,0.13877716312834587
13,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.04705106007305609,0.017765192780393922,2.6484970163106096,0.00808505629205082,178,0.13877716312834587
13,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,0.006074571237472477,0.01238916751261883,0.49031310871253453,0.623912352362417,794,0.03032667458100491
13,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,-0.014290492229661288,0.016810884157713705,-0.8500738031142799,0.3952840552317891,794,0.03032667458100491
13,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.06492835830314149,0.06293851071174272,1.031615740011902,0.3022521638468594,794,0.03032667458100491
15,oni + lagged Δ + month dummies,oni,-0.000718330839255773,0.00901933104859401,-0.07964347193661896,0.936520819403762,794,0.027398900675245752
15,oni + lagged Δ + month dummies,d3_lag3,0.0668121787398465,0.06356786939664684,1.051036936961911,0.2932416257028505,794,0.027398900675245752
15,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.02072891973930214,0.01946436975733663,1.0649674249786005,0.28689067114482636,195,0.09995916910508784
15,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.18524412270265156,0.06300568696029946,2.9401174979549993,0.0032808780641189095,195,0.09995916910508784
15,"… + Δlog cert robusta stocks (1993→, same sample)",dlog_rob_stocks_12,-0.002587736459368065,0.024871044817780595,-0.10404614998393885,0.9171327248973528,195,0.09995916910508784
15,"oni alone, 2010-08→ sample",oni,0.022450972193953252,0.02000176489606631,1.1224495593570656,0.261671342680321,193,0.10581156664049718
15,"oni alone, 2010-08→ sample",d3_lag3,0.16867243825667957,0.07345567125859805,2.2962480005508947,0.021661705425283923,193,0.10581156664049718
15,… + Δlog cert stocks rob & ara (2010-08→),oni,0.022181150355221467,0.02034172251044786,1.0904263561666838,0.27552537715824554,178,0.1591703050016503
15,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.19482421152879836,0.07499788400580303,2.5977294441230323,0.009384240201758216,178,0.1591703050016503
15,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.006857845704076259,0.02389412910480762,-0.28700965304052134,0.7741049289925436,178,0.1591703050016503
15,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.04463222413403858,0.017446208843768567,2.5582763873642556,0.01051924489362739,178,0.1591703050016503
15,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,0.005780258661891401,0.013493548145057705,0.42837203378627603,0.6683802821645489,794,0.028690154398550494
15,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,-0.009139156231659827,0.019079046567440413,-0.4790153532753764,0.631927706280316,794,0.028690154398550494
15,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.06524986364466347,0.06269872289927983,1.0406888789342938,0.29801996628077065,794,0.028690154398550494
17,oni + lagged Δ + month dummies,oni,0.0003177154213775132,0.00880655663332947,0.03607714508700041,0.9712208460404631,794,0.027369596850416844
17,oni + lagged Δ + month dummies,d3_lag3,0.06707803854080034,0.06353426417772752,1.055777373184958,0.29106993803041825,794,0.027369596850416844
17,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.02397121286676914,0.020366778202510216,1.1769761829003802,0.23920501262145477,195,0.11051316596691252
17,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.1704430457454845,0.07361671066111927,2.3152765753157203,0.02059780086412554,195,0.11051316596691252
17,"… + Δlog cert robusta stocks (1993→, same sample)",dlog_rob_stocks_12,-0.004001382615464516,0.02457565995413376,-0.1628189282783212,0.8706610045280005,195,0.11051316596691252
17,"oni alone, 2010-08→ sample",oni,0.02538000756784757,0.020273687358070926,1.2518693378066632,0.21061747924497498,193,0.11620511710298909
17,"oni alone, 2010-08→ sample",d3_lag3,0.15185841932706298,0.08249715719557475,1.8407715427945541,0.06565504470024823,193,0.11620511710298909
17,… + Δlog cert stocks rob & ara (2010-08→),oni,0.027899195047259934,0.022980545456551687,1.214035371789052,0.22473421721389286,178,0.17873804981949903
17,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.17142260341785268,0.09019586299242667,1.9005594905416698,0.0573597357919291,178,0.17873804981949903
17,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.008302879373745792,0.023535841408493435,-0.3527759738706224,0.7242563972631123,178,0.17873804981949903
17,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.043997714217237756,0.01729530888651492,2.5439102883870777,0.010961923438969618,178,0.17873804981949903
17,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,0.004719610023338023,0.01350900598820529,0.3493676757163861,0.7268132972999489,794,0.027959634293333258
17,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,-0.0053775352034200535,0.019978456191044103,-0.2691667039733872,0.78780140138741,794,0.027959634293333258
17,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.06589502748979364,0.06319649976837605,1.0427005883444191,0.29708698531915223,794,0.027959634293333258
18,oni + lagged Δ + month dummies,oni,0.0012777612643392609,0.008507297791344367,0.15019590188077128,0.8806100590456531,794,0.027478143507380537
18,oni + lagged Δ + month dummies,d3_lag3,0.06713191045191774,0.06342226971431071,1.0584911381178461,0.28983158881962423,794,0.027478143507380537
18,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.02496287337428227,0.02007618600414453,1.2434071575711108,0.21371783405873712,195,0.11347587218226385
18,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.16322439819042514,0.07768416920869076,2.1011281944966047,0.035629714516988736,195,0.11347587218226385
