tier,arbitrage,transform,index,lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh_bartlett,q_bh_surrogate
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-15,42,12.2,0.10463176639101282,0.10308777183801435,0.7494844094558544,-0.49266909542739173,0.6349168733415351,0.81,0.6295756283840949,0.8501755270565137,0.8961555555555555
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-14,43,12.2,-0.0778666236699712,-0.11380456254254835,0.8129260792841655,-0.6195272496430472,0.5140275570024136,0.8715,0.614596538763828,0.8659429974983502,0.9101489361702128
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-13,44,11.7,-0.1926999293035035,-0.2617000307929471,0.5638020066693883,-0.6951081314252762,0.4361713877550164,0.674,0.6245730662927043,0.7083666237641032,0.8204512195121951
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-12,45,11.9,-0.2416927807214173,-0.33574911346959735,0.46313764983173833,-0.7188533304771824,0.39027620507773436,0.5905,0.6268104633582436,0.6223596133577932,0.7820135135135136
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-11,46,11.8,-0.30613190703010273,-0.39856905256069824,0.3467765287007205,-0.7509495404335466,0.32978372116664273,0.4845,0.6376439137151421,0.52889350094659,0.7148235294117646
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-10,47,11.9,-0.36822143927091794,-0.4352376575884092,0.24943579185793374,-0.7794151248934598,0.2646952678709555,0.3875,0.6441472091891252,0.43651263575138405,0.6713
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-9,48,11.7,-0.44988598082850306,-0.4779068533212659,0.15290150292964722,-0.8174239678617068,0.17797406698108348,0.262,0.6423081830035455,0.3121739018146964,0.5229807692307693
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-8,49,11.8,-0.49222037581963174,-0.5009312453056795,0.10967980396326382,-0.8334702701320864,0.1208297913659359,0.201,0.6452678252970887,0.3008012649929924,0.49779545454545454
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-7,50,11.9,-0.5102638281001862,-0.49936367270709675,0.09273538178157881,-0.8395285823964868,0.09313090816533354,0.174,0.6329549942567434,0.3008012649929924,0.49779545454545454
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-6,51,12.0,-0.4936164671463945,-0.46616133345056837,0.10441482013543113,-0.8317015061360888,0.11150386664481567,0.184,0.6282905697916222,0.3008012649929924,0.49779545454545454
