tier,arbitrage,transform,index,best_lag,r,spearman,n,n_eff,p_bartlett,q_bh,p_surrogate_lag,p_max_surrogate,ci_block_lo,ci_block_hi,sur_max_q95,n_lags_sig_bartlett_05,n_lags_sig_bh_10,best_pos_lag,r_best_pos_lag,p_bartlett_best_pos,q_bh_best_pos,q_bh_global
tier1,"ICE futures premium (2021→, repo)",z,−SOI,4,-0.5596962234468915,-0.5394410482524082,61,11.2,0.07004702607135638,0.47836715075575226,0.1,0.62,-0.720063926231948,-0.28605508333503715,0.8111508272426161,0,0,4,-0.5596962234468915,0.07004702607135638,0.47836715075575226,0.09935911565599605
tier1,"ICE futures premium (2021→, repo)",z,ONI⁺,8,-0.7384734588320216,-0.7044418055090349,61,7.8,0.0383600999136362,0.5771382002239249,0.05,0.64,-0.9020360983315233,-0.24854137731431553,0.9147134305537927,3,0,8,-0.7384734588320216,0.0383600999136362,0.5771382002239249,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",z,ONI⁻,1,-0.7802116933843934,-0.7984263954316024,60,6.9,0.038827101555557686,0.3805800880845687,0.04,0.5,-0.9217280163459218,-0.3367139581813632,0.9054841362332595,5,0,1,-0.7802116933843934,0.038827101555557686,0.3805800880845687,0.08692634676617392
tier2,VN–BR physical premium B1,level,ONI,6,-0.8755358390030813,-0.7542830162554793,37,5.4,0.03577314185444136,0.6218678109117413,0.05,0.48,-0.9661119254111578,-0.005838827296643281,0.9422906053447058,2,0,6,-0.8755358390030813,0.03577314185444136,0.6218678109117413,0.08692634676617392
tier2,VN–BR physical premium B1,level,Niño 3.4,6,-0.8554270712802121,-0.7452724049327166,37,5.4,0.046183388270674586,0.4927481795998663,0.07,0.43,-0.9634516480619907,0.18120220632910763,0.9278445034875149,2,0,6,-0.8554270712802121,0.046183388270674586,0.4927481795998663,0.08705688012320939
tier2,VN–BR physical premium B1,level,−SOI,22,0.7301805178688949,0.7236044488893588,37,6.4,0.08538227611241878,0.3811587591049389,0.02,0.41,0.08624036292925759,0.7858825650623192,0.8800183834862143,1,0,22,0.7301805178688949,0.08538227611241878,0.3811587591049389,0.09935911565599605
tier2,VN–BR physical premium B1,level,ONI⁺,7,-0.8825609217585655,-0.8121413927466823,37,5.6,0.02501621567444312,0.48818272559600295,0.01,0.31,-0.9767641269181608,-0.48031012447321286,0.952373029996393,3,0,7,-0.8825609217585655,0.02501621567444312,0.48818272559600295,0.08692634676617392
tier2,VN–BR physical premium B1,level,ONI⁻,23,0.908257458121086,0.8473787216012301,37,4.4,0.07309988089967989,0.4115147882737012,0.0,0.13,0.47123254281980886,0.9553494738398247,0.9295456135972052,2,0,23,0.908257458121086,0.07309988089967989,0.4115147882737012,0.09935911565599605
tier2,VN–BR physical premium B1,diff1,ONI,13,0.4243190933306968,0.318952237335582,35,18.3,0.07598263559551999,0.4563627922385072,0.04,0.78,0.13955008730559734,0.8535639503146594,0.6821207192609529,0,0,13,0.4243190933306968,0.07598263559551999,0.4563627922385072,0.09935911565599605
tier2,VN–BR physical premium B1,diff1,Niño 3.4,13,0.45249883663886536,0.3529906183951105,35,18.4,0.05551298124028681,0.4981551895780867,0.01,0.68,0.23513721711256894,0.8382049590859346,0.6693188940491112,0,0,13,0.45249883663886536,0.05551298124028681,0.4981551895780867,0.0886948814780617
tier2,VN–BR physical premium B1,diff1,−SOI,14,0.5653594751247525,0.5189742838782975,35,23.0,0.004144675960839672,0.14506365862938853,0.0,0.14,0.5024534440428731,0.7813124943868924,0.626109323692433,2,0,14,0.5653594751247525,0.004144675960839672,0.14506365862938853,0.07974550955700895
tier2,VN–BR physical premium B1,diff1,ONI⁺,13,0.44350017437932604,0.3052197005490151,35,18.0,0.06513974887421137,0.42835675793336714,0.04,0.79,0.07517900903666448,0.829231169128711,0.6436233452406329,0,0,13,0.44350017437932604,0.06513974887421137,0.42835675793336714,0.09674220129833372
tier2,VN–BR physical premium B1,diff1,ONI⁻,17,0.4553572312591472,0.42718498622350126,35,20.2,0.04171509950479013,0.91508461728381,0.02,0.74,0.0614489255492487,0.803731522874487,0.6823568695445027,1,0,17,0.4553572312591472,0.04171509950479013,0.91508461728381,0.08705688012320939
tier2,VN–BR physical premium B1,diff3,ONI,15,0.6965995783648019,0.6573458648567975,34,8.0,0.053105894513284735,0.3440646492313587,0.03,0.58,0.32467776925406966,0.8944459723344247,0.810656042945654,0,0,15,0.6965995783648019,0.053105894513284735,0.3440646492313587,0.0886948814780617
